,rating,name,review,verified,vote,date,length
1204,neutral,paulus,Sounds better than echo dot speaker which is what I use it for Blue tooth range is fair to good but not great Would I buy again Nah Id invest in something like a refurbished Sony XB for bucks,True,0.0,14.05.2018,39
1207,positive,Princido Texidor,No issues with this product It worked just as the description stated,True,0.0,11.02.2018,12
1208,positive,S. Miller,These pads are a perfect fit on my Sony MDR Vs and even a little more comfortable to wear than the originals I think They also restored the bass response which was apparently partly leaking away where the old leather covers had separated from the inner cloth panels and exposed the inner foam They were easy to install just using my fingers I am very pleased with these pads especially for the price,True,0.0,28.04.2018,73
1209,negative,Ray H. Morton,Flat keys,True,0.0,25.03.2018,2
1211,neutral,DL,does not hold the cords well I use mainly apple products in case that helps decide based on the type of cords you have,True,0.0,10.04.2018,24
1212,positive,Michael Pullman,Worked perfectly,True,0.0,28.03.2018,2
1213,negative,Damany,This is the worst backup cam I have ever had I am using it with my F which is in Barbados Caribbean and its placed by my license plate Pros It works Cons It is not IP waterproof Water gets into the camera lens and the video is very blurry The camera quality is ok for the price but its poor if you compare it to other brands I am not pleased at all for buying this product since the major issue is that water gets into the lens and blurs the video I am now looking to get rid of this crap and buy another product Unfortunately the warranty is out and I can not return this product Please do not purchase this product unless you live somewhere that rain does not fall because the lens will catch water,False,0.0,25.06.2018,140
1214,positive,DaveFL,Very strong and secure Foam system is really nice for shaping the internals to match my camera equipment,True,0.0,23.04.2018,18
1216,negative,Gaitanpol,Very difficult to use the glue seems to be sticking to the plastic more than it does to the carpet It feels like the glue is not evenly applied so that at times it is really difficult to unroll on the carpet whereas sometimes it is OK On the good side tough plastic that does not tear away easily provides good protection I will definitely try some other brand next time,True,0.0,17.03.2018,71
1217,neutral,Luka Dodelia,good beta product much to be done there mostly software but since it does not offer updates,True,0.0,26.01.2018,17
1219,positive,Helen,I do not often five stars to a product but this one deserves it It has been two years since I bought it and it is still going strong in spite of the fact I have dropped it at least three times The last time I dropped it was this week onto a hardwood floor and thought it was a goner but it is still working This drive has been well worth the price which is not expensive at all It does not get hot and I think it is quiet but deafness prevents me from hearing much Id recommend this drive if you need more storage space,True,14.0,04.01.2018,108
1220,neutral,Prat,Its a good looking bag just the right size for what I was looking for I realize that most folks will use it as a day bag but I thought I could repurpose this as a camera bag since I wanted a bag that does not scream camera bag So this is a slightly different review and take it how you will I used this bag with a couple of camera inserts from ApeCase and Domke wrap that I had lying around I was able to fit the ApeCase Cubeze Pro the ApeCase Cubeze a poncho and a storm jacket The Apecases were used for carrying a full frame DSLR Canon D and lenses Rokinon mm Canon fL Canon fL and Canon fL In addition I could fit in a lens cleaning kit spare batteries memory cards a small laptop charger a camera flash couple of transceivers and a small Manfrotto tripod So with some thought you can fit in quite a bit of stuff in this bag Of course I did not carry all of this in the bag when I had it on my back would have been too heavy but this gives you an idea of how much you can pack in this Pros Seems pretty durable Looks good Can double up as a large messenger bag You can even slide off a strap and use it as a sling bag I did that frequently for quick access to camera and lenses Large enough for me Cons Not waterproof I had a spare rain sleeve with which I used the bag in light rain and it was okay The color comes off quite easily especially if you are sweating Its okay for a short walk but anything upwards of an hour you start sweating and the color comes off Poor ergonomics but you kind off expect that in a cheap canvas bag like this Pack light The shoulder strap is pretty thin and uncomfortable I used it with the shoulder strap from a different messenger bag and it was a lot better Using it as a messenger bag you do not have your sweaty back in contact with the bag and the color coming off is not that much of an issue any more As such this is not a bad bag I will keep it and continue to use it as an inconspicuous camera bagday bag but I will use it with a better shoulder strap than the one it comes with Knocked off the two stars for the poor shoulder strap the color fade and how uncomfortable it feels to carry on your back when walking around for even an hour or so,True,2.0,30.05.2018,448
1221,negative,Amazon Customer,I got this assuming Id be able to charge two USB devices at once that is not the case When I plug in both a smartphone and an ancient iPod touch it SWITCHES power back and forth between the two devices making them constantly beep as they toggle between unplugged and charging And yesterday in my hotel room when I tried to charge both my phone and battery pack overnight It did not fill EITHER device Overnight My phone went from up to and my battery pack stayed at a miserable Once upon a time this was a great charger but it can not keep up with todays devices,True,9.0,14.03.2018,109
1222,negative,Amazon Customer,does not seem to work I can see the screen from all angles,True,0.0,17.04.2018,13
1224,positive,Betty B. Hawley,Saved my sanity if not marriage to nearly deaf husband,True,0.0,17.05.2018,10
1225,positive,Jason,Works Great,True,0.0,18.05.2018,2
1228,negative,PB,While it looks like the replacement can not program it to RF mode Also not able to sync up with TV Only works in IR mode,True,0.0,24.04.2018,26
1229,neutral,Raithskar,I purchased this item locally to replace a GB SanDisk Clip that I purchased in My old GB SanDisk Clip still works fine but my MP collection has finally hit the limit of the GB internal memory when I got to around the song mark in my favorites collection Sidebyside the new GB Clip Jam feels noticeably cheaper less durable most notably with the control buttons display quality materials quality Hence the mediocre star rating The device seems to work fine but it was disappointing to see a brand new SanDisk MP player fall behind its venerable ancestor in quality feel I really wonder if the new GB Clip Jam will last as long as my old GB Clip has Only time will tell I guess,False,0.0,26.05.2018,126
1230,positive,DagDerNiT,I am using this for FPV with Dji Mavic Pro Nvidia Shield K and Avegant Glyph VR goggles Kinda a expensive set up but the videos that I am creating in k are worth it Love driving my Jeep Wrangler to Mt Rainer and filming while FPV,True,0.0,26.04.2018,47
1233,negative,Risket,I DO NOT recommend this laptop stand Build quality is very nice and solid unfortunately it is not large enough to hold anything other than maybe a Chromebook or some cheap computer As you can see from the photos and video I have attached while the laptop is open there is not enough support in the back and the laptop will fall right off The screen must be closed enough to shift the weight forward to support it unfortunately that also means you can barely see your screen while working The only way I can see making this thing useful now is by putting some kind of strap around the trackpad area of my laptop to hold it in place Which is going to be very annoying Its a shame too because the build quality is excellent Its very solid and has a very nice weight to it I just wish they put some thought into the design and gave it more surface area for the laptop to sit on,True,0.0,29.07.2018,170
1234,positive,Rosemary Bos,Mostly I like it I like the sturdy feel of it and that it has the upright stand feature My old one had a flexible front cover which was more comfortable for hand held use Just a matter of getting used to the change,True,0.0,08.03.2018,44
1236,neutral,dewzter,I am miles away from the broadcast station I use this antenna for During winter it works good during summers humidity and heat forget it,True,0.0,26.03.2018,25
1238,negative,Joshua,Not the best headset I have ever owned Not even close The bluetooth works but it does not work well for phone calls since this headset is lacking a mic The sound quality is hollow and cheap I use these as an overpriced exercise headset but I do not even like to use them The Bose headset for the same price range would be better This headset should be in the range as they are just so terrible for the price I have owned better headsets for the mentioned price range on sound quality alone,True,0.0,07.07.2018,95
1239,positive,m&amp;m,Good p monitor Connections are in a good place for mounting on arm with vesa mount,True,0.0,15.07.2018,16
1240,negative,Cronos,The product indicates Micro ATX However I found that the inside design locates the three internal inch mounting bays right above and directly adjacent to the pin atx power connector strip of micro ATX motherboards so the use of the inch mounting bays is blocked by the pin atx power connector from the power supply Also the depth of the case from the IO panel at the rear of the case to the inch mounting bays makes it I found impossible to install SATA connectors located adjacent to the inch mounting bays I tried to install an Asrock ZM Pro motherboard and ran into the problems indicated in my review I found this case not suitable for use with any of cm by cm micro ATX motherboards that I tried to install Gigabyte LMTUSB R and Asrock ZM Pro Maybe if the inch mounting bays are removed it will work As a side note the front SATA ports of the Asrock ZM Pro motherboard point horizontally to the front of the case not vertically up so I found the depth of the case front to rear way to short for the Asrock ZM Pro motherboard,True,0.0,12.05.2018,195
1242,positive,Payerman54,The builtin light is too bright for me unless there is absolutely no light present which is usually not the case even at night But it does work well is clear Viewing angle is very wide Thinking of putting some window tint on the light Yes it is a light not infrared as claimed Used for over a year without issue BUT I did seal it with automotive silicone adhesive before installing it around the case split where the lens meets the case No water intrusion at all,True,0.0,07.06.2018,88
1243,neutral,Super  Mom Crystal,I love the ability to do all that you can with this program For the price I believe that the consumer should have more tedious control I have the switches set in place and I still do not feel in control I would like the ability to actually view which websites and content is being viewed I hate that I have to completely remove a device from being manned to be able to use it I want to be able to view what my child sees from the app and block or unblock it It feels like all or nothing with this system Then I can not tell which device is which sometimes There needs to be a better way to tell which device I am setting up Then there are certain parts of sites that I am ok with but not others I need feature and subject blocking abilities There are so many possibilities with this program that are untouched When improvements are made I would be happy to change my view Also if I am paying more than for the Disney circle box the mobile service should be included I should not have to pay more on an already expensive item I think its ridiculous that I do,False,0.0,01.04.2018,210
1244,neutral,Richard W. Niles,They work but I do not feel the need for them really,True,0.0,07.06.2018,12
1246,neutral,DesignManiac,The box we bought had no raid selector on the back you have to use a Windows or Mac PC to configure it so it a does not work out of the box at least after having installed the drives and b is not convenient for server rooms in a Linuxonly environment Certainly Linux software to configure it would be appreciated After software configuration it does indeed work like a normal RAID drive,True,0.0,21.06.2018,73
1247,positive,Josh,I have had these almost a year now Absolutely love them I wear them at the range in conjunction with Surefire ear plugs They are a little snug but do the job,True,0.0,05.01.2018,32
1248,negative,Heidi,Save your money The USB ports quit working after about a week,True,0.0,18.05.2018,12
1250,neutral,Jeremy C.,It works great for SATA However I purchased it for testing SAS drives Never got it to recognize a single SAS drive even known good ones Tried multiple computers and configurations,True,0.0,25.01.2018,31
1251,negative,JAY C.,Purchased the product because I figured Amazon would have a quality item nope Lasted less than two months before fraying at the connectors Very disappointed have had much cheaper cables that actually lasted longer,True,0.0,21.08.2018,34
1252,negative,Subira,I have had this camera for a while now and its given me grief The app is the WORST the camera disconnects whenever it wants to and you have to start ALLLLL over again and set up the camera again and tonight for whatever reason my camera will not link up to the app which is the LAST STRAW for me I am done and will be purchasing a new camera from a different company I wish I could return this device,True,0.0,11.02.2018,82
1254,positive,Melissa,Low noise Using for satellite receiver box you are not losing a USB port as there is one on the back side of the plug,True,0.0,29.01.2018,25
1255,negative,James Rottet,This was mislabeled by the manufacturer It did not work on the Japanese CDs Region I returned it This was not the fault of Amazon Not sure how mislabeling can be corrected short of taking the manufacturer off your provider list,True,0.0,12.06.2018,41
1256,negative,Daniel,My cable is defective creates errors with Sound after an hour of use I think possibly it is overheating Scaling works most of the time unless you change any video settings on your TV while the source is already connected usually then the scaler chip will need to be unplugged and plugged back in and the TV source selection changed tried this on two TV models Was not impressed with the scaler overall it changed color temps and generally did a worse job than my Samsungs built in Scaler I would say this could still be a good choice if you have a cheap or early model k tv with poor built in scalingimage processing tech or using this on a k monitor to watch older movies But if you have a decent k TV bought in the last two years you probably already have better scaling technology built right into the unit,True,3.0,05.06.2018,153
1257,positive,Amazon Customer,I bought this for my Asus Chromebox MU GB Celeron Dual Core GHz which only came with GB of memory It works perfectly and now the box is screaming fast,True,0.0,15.04.2018,30
1258,neutral,Amazon Customer,Nice monitor for gaming but the colors are really off and need to be calibrated,True,0.0,14.05.2018,15
1259,neutral,Nicholas R Forystek,I smashed my old one on purpose I do not know what it is about buying two of everything but its making me mad that its all grace of first going in thirds,True,0.0,23.05.2018,33
1260,neutral,J. Spivey,The best thing is the price Unfortunately these tend to wear out very fast I have had to replace of I have bought,True,0.0,10.08.2018,23
1261,positive,Timothy Larson,Nice heavy duty cable,True,0.0,04.01.2018,4
1262,neutral,Egor,Well the good news is that compared to some of my other replacement cables this one seems to be reasonably sturdy at the end where the connector transitions into the wire The bad news When it comes to charging this cable is SLOW Not only does it not support Fast Charging with my Galaxy S even when using the original wall adapter from Samsung it does not even charge as fast as the original Samsung cable would after disabling Fast Charging So if you just want a USB TypeA to USBTypeC cable sure Go for it If you want something that works well Maybe look elsewhere I am still looking,True,0.0,27.07.2018,110
1263,negative,Kevin Phung,I do not buy this item It does not work like the people review Waiting time and money,True,0.0,25.01.2018,18
1264,neutral,Sheryl J.,I had to download drivers to get it to work on a Windows system It was not a big deal but Id wanted it to be plug and play I found the links to the drivers in another review here Thanks previous reviewer,True,0.0,24.04.2018,43
1266,neutral,Micheal Hood,It is just as advertised I like the interaction with the Kindle When you close the cover the tablet sleepsetc One handed reading can be a balancing act if you use your left hand,True,0.0,17.05.2018,34
1267,neutral,Dude,I am not going to go into a lengthy review but this this lens is okay Its biggest problem is autofocus Maybe it works better on some models vs others but on my D the autofocus on this lens is terrible This is the first NONNikon lens I have EVER bought in years will not EVER buy another NONNikon lens My advice spend the extra cash on the tried and true Nikon,True,0.0,06.02.2018,72
1268,positive,Charles from NY,Took very little time to put ssd on it Placed it on a HP slim desktop So very simple Made sure putting the right size screws in the ssd and case like another review mentioned,True,0.0,26.01.2018,35
1269,positive,Ron,works just fine,True,0.0,06.04.2018,3
1270,positive,M. Shim,Had for a month A rough month for the case may I add Still perfect Looks like a oily puddle in a parking lot in a good way,True,0.0,07.08.2018,28
1271,neutral,Tired Engineer,Works very well Range is significant extending throughout the house and into the back yard Audio quality is very good Audio effects such as surround sound are great The only downside is the headset is uncomfortable to wear The ear cups are flat so they press very heard on the ears causing some discomfort in an hour sometimes less The headband adjustment is not very good and the headset tends to fall off easily Technically they are great ergonomically they suck,True,0.0,18.01.2018,81
1272,neutral,Mia_Vox,I was looking for moderately priced noise cancelling headphones The reviews for these were decent but did not really mention the noise cancelling aspect They are not noise cancelling huge bummer On the plus side there is a micro SD card slot so these headphones are a self contained mp player The bluetooth works really well I can walk around the house and not lose connection The cord that came with the headphones were red and the actual headset I bought is Orange the picture makes them look like this awesome peach color but they are BRIGHT orange Not a big deal but its bothersome that they do not match The sound quality is the most surprising to me The sound modes really do work and I have yet to find anything that did not sound perfectly clear and crisp,True,0.0,23.04.2018,140
1273,neutral,LB,Super easy set up but so many gaps in the recordings not to mention I am always getting motion alerts for the bushes moving in the breeze but nothing when the UPS truck pulled up,True,0.0,18.01.2018,35
1275,neutral,Donald H.,Io did not work,True,0.0,03.03.2018,4
1279,neutral,ed cavanaugh,works fine,True,0.0,04.05.2018,2
1280,negative,INDY MOM,Already breaking st thenlightening comnection,True,0.0,05.07.2018,5
1281,negative,Muleskinner,It was underpowered that it stopped working on the first charge,True,0.0,25.06.2018,11
1282,negative,Nicole Denny,The zipper broke after uses do not waste your time,True,0.0,08.04.2018,10
1283,negative,sccc,After months the band does not work very well My fitbit keeps falling off I am surprised I have not lost it yet,True,0.0,22.02.2018,23
1284,neutral,Rebecca,Working in the legal field I often find myself in public places on my laptop while working on very confidential sensitive client information I finally got tired of always looking around me to make sure no one was being nosy I purchased the Akamai privacy screen filter after much research and reading reviews The price was a little above average compared to other screen filters but wanted something worth the money The screen filter is very user friendly It comes with what is necessary to attach the screen filter to your laptop in two different ways The first is to attach the screen filter directly onto your laptop with adhesive attachments and the second is to attach tabs to the border around your laptop screen on each side and slide the screen down inbetween the tabs and the screen The side tabs have adhesive on the edge then tabs that protrude a little over your screen nonadhesive to allow a space I opted for the second option The filter does provide fair screen privacy but not as good as what I had hoped for If someone were standing directly behind me no matter what the distance they would have a full view of my screen I took the photo I am attaching to this review from about feet back at about a degree angle As you can see especially if you zoom in close on the photo there is no privacy At a degree angle you have about privacy about half the screen is still visible The privacy screen does darken the display significantly so if you prefer high brightness like I do it takes some getting used to Right now I am still looking over my shoulder but not as frequently This privacy screen is okay but not as good as I had hoped for,True,0.0,26.04.2018,306
1286,negative,RON IN USA,Good price but limited light and flimsy cheap no thanks,True,0.0,17.02.2018,10
1287,neutral,Xoza,Sound quality volume and range is great Wireless connection is a little inconsistent though for some reason reconnects at least every hour and can disrupt what you are doing This is my first wireless headset though and not sure if that is good or not Why no data over USB only seems to charge,True,0.0,13.03.2018,54
1288,positive,RAN,Sound quality excellent Paired three of them for a gathering of people Several asked about the speakers because of sound quality Excellent choice for ease of connection quality of sound and ability to pair speakers,True,0.0,08.05.2018,35
1289,negative,pedro,after using it for month the product never allowed me to get the speed that I need from my internet provider tried to trouble shoot but nothing worked do not buy this model spend a little more and get a higher model this one can not handle the multiple items connected,True,2.0,06.01.2018,51
1290,negative,Bryan D.,The back portion of it cracks after about a month or two I bought of them with the same defect do not waste your money on this,True,0.0,16.05.2018,27
1292,neutral,Joe Petryshyn,Would love to have has instructions how to use it with my IPhone,True,0.0,28.05.2018,13
1293,positive,spottydawg,works great and it arrived on time as advertised Thank you,True,0.0,17.05.2018,11
1294,positive,Joe Kincaid,These are surprisingly good given the price I have no issues with the sound quality,True,0.0,20.03.2018,15
1295,positive,Anglefish,Good product,True,0.0,21.07.2018,2
1296,neutral,Machine Gun Lilly,Speakers worked great Eventually did stop working though,True,0.0,13.03.2018,8
1297,negative,Gwen,I RECEIVED KEYBOARD CASE AND CONNECTED IT THE TABLET AND KNOW MY TABLET WILL NOT WORK,True,0.0,26.03.2018,16
1298,neutral,Pedrovski,Works with my Canon M Trouble is I had to put in a new battery as the one that shipped was dead So not that great of bargain to say the least,True,0.0,20.06.2018,32
1299,positive,SERAJ,Good as new I really loved it,True,0.0,05.01.2018,7
1300,positive,kenneth,Item was in great shape,True,0.0,25.05.2018,5
1301,positive,Notarat,Very pleased so far with this UPS I replaced an APC VA unit with this one and am very satisfied so far been using it nearly a year now,True,0.0,29.01.2018,29
1302,negative,bobcat3059,Keyboard was way too touchy Ended up buying a different one,True,0.0,28.01.2018,11
1303,negative,Kenneth P.,Ceased functioning within a month and the company failed to return contact on the warranty claim Sound quality was average at the price point and initially I considered them a good value But the extremely inconsistent and unavailable customer support which we have found true for multiple Jlab products makes these a nonrecommend and avoid at all costs,True,0.0,15.07.2018,58
1304,positive,docsigmund,It did exactly like it was advertised I would bought several,True,0.0,30.03.2018,11
1306,neutral,Madvlader,Bought this on a sale Never really needed it Used it a few times and was pretty disappointed in it However some years later I found a new use for it and turned it into a super cool smart mirror that works with all sorts of stuff now In fact it lead to more stuff purchased on Amazon,True,2.0,10.01.2018,58
1307,neutral,Alicia Moss,The images were pretty blurry and the dvr did not come with a fan built in so it was overheating We ended up returning it for an upgraded version,True,0.0,13.01.2018,29
1308,negative,K. J. MORRIS,Not the highest of quality going on here If you link one you drop the link of the other In order to set the alarm off you must be right in front of the sensor It does not have much of a wide range I am still debating on the return and spend a little more I would not recommend,True,0.0,08.03.2018,60
1311,neutral,Ian Hauser,Works in my studio sometimes i have all razer products in my studio and it just sometimes works and it gets old sometimes it turns on and all my devices are detected other times not Sometimes things will turn on and off rapidly never had this problem with my BlackWidow,True,0.0,13.04.2018,50
1312,neutral,Travis L.,It hide two wires but not more I was disappointed but got two wires is perfect,True,0.0,12.02.2018,16
1315,positive,J Olsen,I do not keep it hooked up full time Its a backup drive that I hook up from time to time and for that its great Its kind of big but I bought it when a TB drive would have been super expensive in a smaller format,True,0.0,13.03.2018,47
1316,neutral,Matthew,This seems to be a nice little amp with some really nice features I bought it because I just got a pair of Sennheiser HDs and the amp in my Onkyo DPS just was not enough for these Ohm sweethearts and this had output load handling up to Ohms Well it ran the s but unfortunately it sounded as though it was really laboring its tiny brains out pushed and kind of noisy that is the drawback with the s you hear EVERYTHING so clearly that slight distortion is unbearable I presume this would be a perfect takealong amp for users of Beats or Bose or other commercial headphones or buds but this does not do a good job with a really big load like the s going to try an amp with Ohm output capabilities probably tube,True,0.0,04.02.2018,138
1319,positive,Amazon Customer,Functional The clamp that was supplied with it will work for Sheetrock but not any other wall material,True,0.0,29.05.2018,18
1320,neutral,Dave C. Jones,Pretty loud fan especially if you are in a small quiet hotel room Maybe some do not mind the white noise effect I find it annoying As it turns out I did not need it anyway All of my electronics convert from V,True,0.0,13.02.2018,43
1321,negative,Eddie B.,The string broke and we lost the camera on the nd day we used it I had even tied an extra knot in the string because of another review I read here It was attached to my wifes BCD with a metal carabiner and it either came untied unlikely or it broke and the camera floated away off into the Caribbean We lost all our pictures Would love to be able to review the quality of the photos but we do not have any If you plan to use this camera in or under water buy something better to attach it to yourself And download your pictures after every dive or buy multiple sd cards and swap them out regularly,True,0.0,02.08.2018,120
1323,negative,Linda Heck,The color wears off in the middle as its used,True,0.0,23.04.2018,10
1325,negative,Roger Williams,The sound is good but it has a bad habit of losing sound for a noticeable amount of time making it more annoying than anything I would have sent it back if it had not been for the hassle vs the price,True,0.0,05.07.2018,42
1327,negative,Scott N Atlanta,Not really usable as a security camera since it reset its location of Viewing back to a default which faces down instead of the area of the room you Set it for viewing The default is straight down which shows the top of the shelf it sits on Works well until a power failure resets the view Great and easy to use phone app Sends too many alerts due to light changes from outside,True,0.0,21.08.2018,74
1328,negative,J. Power,First off this is a crazy review setup where a dozen iHome products are rated in one jumble Second I bought the leak detector It seems there was an update to the app It does not allow the leak detector to be added as an app and is a design and implementation mess to boot Think of your worst s Windows program Without the app this is useless Ill be returning it,True,0.0,07.09.2018,72
1329,positive,DHO,I used this on my embroidery sewing machine to protect the machines port It is very useful because I can access a variety of files,True,0.0,02.02.2018,25
1332,negative,1WiseBuyer,Extremely disappointed in a practically empty bottle and a drip tip that leaks everywhere,True,0.0,13.02.2018,14
1333,positive,shoppers voice,Simple Worked as advertised and it fairly priced I tested it in a windows laptop and the drivers installed automatically and I was up and running instantly Windows is a bit more tricky as Bluetooth support for it was rather new at the time Follow the instructions and it will work fine I was able to connect a bunch of devices to it and the range was pretty good Its nice to have for traveling or for getting a pair of Bluetooth headphones to work on your computer,True,0.0,28.05.2018,88
1334,neutral,Jade W.,Not good but not bad either Sounds not great but it works ok for external speaker set up for my design pc,True,0.0,09.02.2018,22
1335,negative,nms5419,Worked great at first but I can no longer write to this card or even reformat it after only a year or two Save yourself the trouble and buy Sandisk or Samsung both are a much better option than this product,True,0.0,04.07.2018,41
1336,negative,Clint,The metal casing around one of the plugs fell off and the pins were bent from it and thus broken in less than a week Total junk,True,0.0,07.03.2018,27
1338,positive,Kramer,cheap and reliable,True,0.0,04.05.2018,3
1339,neutral,Gregory Lilly,I bought this camera because I was hoping to be able to link it into some DIY home automation projects I am working on However Zmodo does not allow you to tap into the cameras video feed You must use their web interface that is the only way to access the video still images They also offer cloud storage for a fee If you want a camera that can be used in personal DIY projects this is not the camera for you If you just want a cheap web based camera that also includes motion alerts this is not bad,True,0.0,25.03.2018,100
1340,negative,Dmitry Nikiforov,The best speed I could get out of the AV model is about megabytes per second or just a little over megabit while at the same time I am getting about megabytes per second over wifi or about megabit over ac Extremely disappointing and barely usable The speed is pretty much equal to or less than that of the ancient wireless g standard Perhaps in theory in the absolutely ideal situation you can get higher speed But at this stage it is only usable to those who for whatever reason can not set up a good wifi coverage in their home Definitely can not recommend to anyone who is looking to improve transfer speeds,True,0.0,07.01.2018,114
1341,neutral,Carl M. Nechtman,Not very well padded Handle a little shaky This is a great size and layout but I will pad further to make sure equipment safe I bought this for size smaller and Price cheaper than Think Tank I have older Think Tank photo products like this but slightly bigger and x the price Not a bad item but not nearly the quality of Think Tank I will use it for now I use a lot of Lowepro stuff as well Makes this compatible with my other stuff,True,0.0,28.05.2018,87
1345,negative,Desert Gal,Sometimes works and sometimes does not Think I need a much better one as this one is a cheap model,True,0.0,05.02.2018,20
1346,negative,John T Haley,I figured on a whim that Id try these to replace the factory yearold paper cone speakers with whizzers I took them back out and put the brittle tired factory speakers back in because they sounded about better than these It would not be a huge stretch to say I get better range and fidelity from the pinhole speaker on my iPhone Avoid,True,0.0,25.03.2018,63
1347,negative,Amazon Customer,it was worthless,True,0.0,20.01.2018,3
1349,neutral,Josh,I purchased these speaker mounts under the impression that I would be able to mount my speakers on their sides However they do not open far enough to fit my speakers in sideways They barely open over in and the specs said and a half which is what I needed Very disappointed Other than that they work and are very well built,True,0.0,05.02.2018,62
1351,positive,apoem,I went to use my CB the other day and it did not work Since its old that did not surprise me but before replacing a CB I thought id start with a new plug in wire And it worked This wire worked on my Cobra year old CB Yay It was plug and play It came packaged well and exactly as pictured,True,0.0,03.01.2018,63
1352,positive,Bankai23.02,Can always trust anker products Works as intended,True,0.0,11.02.2018,8
1353,neutral,M. Krawitz,It was alright but the color started wearing away on the keys,True,0.0,11.01.2018,12
1354,positive,Heidi,I love it,True,0.0,05.01.2018,3
1355,neutral,javier garza jr,I tried it with my D and got ok results but its on my D when this lens really shines it gives and extra reach and the images are a lot sharper and crispier,True,0.0,08.03.2018,34
1356,negative,Nelson Cintron,After months \ it stop working Failed to connect to my iPhone X,True,0.0,01.05.2018,13
1358,negative,Yui Daoren,Magnet is so weak that gravity alone pulls it off of my computers fan Dissatisfied but will cost too much to ship return,True,0.0,27.04.2018,23
1359,neutral,DonJuan,The headphones work with our Chrysler Town and Country but both headphones produce a hissing sound almost like white noise in the background The kids do not seem to mind it much yet,True,0.0,09.01.2018,33
1361,positive,luis zazueta,It works as advertised Only thing wrong with the box I received was that they forgot to include washers Luckily I work construction and have a ton of ss washers,True,0.0,09.02.2018,30
1362,neutral,Mark Van,Works but makes allot of hollow plastic sound on keychain had to remove it,True,0.0,10.05.2018,14
1363,negative,Christopher L Fernandez,trash,True,0.0,24.02.2018,1
1364,negative,Outdoor MacGyver,After only a month of light use the main compartment bag zipper failed and my Nikon D and about five hundred dollars worth of lenses hit a marble hotel lobby floor and shattered all over the place Not only am I out the price of my camera equipment but also the price I paid for this garbage chinese made crap,True,0.0,07.07.2018,60
1365,positive,JeffdaRev,The big difference for this product is it has tabs to lay the screen on your device so you can fit accurately After placing you literally watched as it adhered to the screen Only had two bubbles I had to work out It also can be registered and then replaced if need be Great deal for all this,True,0.0,03.02.2018,58
1367,negative,Bob B.,Super slow and not supported with current versions of channels Bought to use with my old TV but just barely works,False,0.0,21.05.2018,21
1368,positive,Lori Sipes,The case is very nice I did have to return it but only because the iPad mini came with a case in it Information about my return and refund was great No problems at all,True,0.0,17.01.2018,35
1369,positive,Rebel Extreme,Great Sales I Appreciate the Business,True,0.0,05.03.2018,6
1370,neutral,Robert Monk,Replacement power supply may work but if you lost yours skip the directreplacement and get a USB x DC barrel connector adapter instead Allows use with TalentCell and other brands portable charger brick USB v outputs so you do not have to be plugged into wall outlet I have not thoroughly tested for noise that might be introduced when using a USB adapter plugged into cheap switching power supplies the lightweight wallwarts that do not have a copper transformer inside but the Zoom wall wart appears to be a switching power supply anyway so I do not think this will be an issue Zoom should provide this outofthe box The R is a portable recorder why not enhance its portability and make it functional as a phantompowercapable board AAs run down in like minutes when using phantom power You need the more rare x mm barrel connector I think I have that right see my other recent reviews to confirm NOT the mm x mm,True,0.0,07.06.2018,165
1373,neutral,adrian,Great screen protector but absolute sucks when it is broke It messed with my iPad display like crazy can not even touch certain areas sometimes removing this solved the issue,True,0.0,01.03.2018,30
1378,neutral,Schulner,It says optional router in configuration but the router is not optional I hooked it up to the modem and it did not work Tech support says it needs the router to give it different IP addresses so that the ports will work Thus the space I have does not fit the router modem and switch and only had two places to plug in so I needed to add a power strip Also the plug sticks out perpendicular to how yo plug it in which also caused a problem for me to fit in the space where it was,True,0.0,15.04.2018,99
1379,neutral,David H. Obelcz,Three stars But why Quality of the bag is really nice for the money It is visually a very nice bag that gets a more distressed look as time goes by The problem is the bag is not very practical and suffers from form over function YES it holds a laptop and your various other items it just does not do it well when traveling It lacks smaller storage areas for travel documents a cell phone pocket and compared to an Ogio bag I have it is not as easy to take the laptop out to make the TSA happy It is not hard to do it but it is not open pull xray drop back in bail easy,True,0.0,09.08.2018,119
1380,negative,G. L. Pedersen,Very disappointing Box was resealed the item was used Scratched on the bottom and other signs of use I bought this as a new item not used,True,0.0,06.08.2018,27
1381,negative,Cristie w.,Works no better then not having one,True,0.0,13.04.2018,7
1382,positive,chien,Great product,True,0.0,04.08.2018,2
1383,positive,KD,Just the right size,True,0.0,23.08.2018,4
1384,negative,reddog,Do not buy this product I bought it with my new computer i called them times and got no help what so ever TOTAL SCAM in my opinion,True,0.0,09.05.2018,28
